epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,403.08,2.28437,4.04033,1.28069,0.83349,0.06224,0.05261,0.02936,2.2337,3.04783,1.15476,0.000195279,0.000195279,0.000195279
2,844.203,2.34584,3.06228,1.1673,0.62435,0.09865,0.07272,0.03793,2.21564,2.61751,1.10275,0.000387406,0.000387406,0.000387406
3,1280.38,2.24158,2.64178,1.13208,0.48522,0.11112,0.08912,0.04976,2.09784,2.34095,1.09456,0.000575651,0.000575651,0.000575651
4,1653.07,2.22308,2.46951,1.12722,0.4367,0.14503,0.12494,0.06968,2.06318,2.15768,1.08861,0.000570536,0.000570536,0.000570536
5,2042.51,2.13443,2.26756,1.1045,0.44284,0.16323,0.16527,0.09927,2.00492,2.03776,1.07095,0.000564715,0.000564715,0.000564715
6,2463.59,2.14392,2.2352,1.10152,0.40269,0.17823,0.1535,0.09077,1.97115,1.98468,1.06308,0.000558894,0.000558894,0.000558894
7,2890.82,2.08479,2.11136,1.08702,0.29933,0.21926,0.18682,0.113,1.94383,1.91528,1.05475,0.000553073,0.000553073,0.000553073
8,3307.27,2.08198,2.07066,1.08133,0.35316,0.19439,0.18998,0.11273,1.99472,1.89786,1.05558,0.000547252,0.000547252,0.000547252
9,3759.66,2.03121,2.02344,1.07845,0.36458,0.24848,0.1937,0.11812,1.91509,1.82036,1.04426,0.00054143,0.00054143,0.00054143
10,4187.67,2.00295,1.96734,1.05992,0.37818,0.2364,0.21731,0.12976,1.93584,1.86117,1.04223,0.000535609,0.000535609,0.000535609
11,4629.69,2.00095,1.92106,1.06527,0.46116,0.26228,0.21871,0.13595,1.88971,1.77754,1.04159,0.000529788,0.000529788,0.000529788
12,5067.22,1.98068,1.90962,1.0595,0.59223,0.28421,0.25687,0.16499,1.85624,1.73433,1.03602,0.000523967,0.000523967,0.000523967
13,5478.57,1.97736,1.87313,1.05535,0.71921,0.23551,0.28891,0.1816,1.88515,1.74835,1.03182,0.000518146,0.000518146,0.000518146
14,5893.32,1.94562,1.85449,1.05733,0.60831,0.28385,0.28389,0.18189,1.82953,1.66147,1.03004,0.000512324,0.000512324,0.000512324
15,6288.6,1.92963,1.80544,1.04748,0.55323,0.26897,0.28926,0.18935,1.8239,1.7046,1.03193,0.000506503,0.000506503,0.000506503
16,6691.06,1.92363,1.8035,1.05004,0.5519,0.30483,0.31415,0.20734,1.79491,1.65725,1.02901,0.000500682,0.000500682,0.000500682
17,7115.03,1.91842,1.75973,1.03652,0.50904,0.31043,0.31478,0.20211,1.81029,1.66387,1.0225,0.000494861,0.000494861,0.000494861
18,7547.45,1.92316,1.7358,1.03814,0.47962,0.3369,0.32041,0.20913,1.80154,1.62067,1.02298,0.00048904,0.00048904,0.00048904
19,7973.68,1.89725,1.71717,1.03962,0.63131,0.33961,0.35477,0.23493,1.78591,1.58413,1.01558,0.000483218,0.000483218,0.000483218
20,8369.19,1.85984,1.67507,1.01892,0.57974,0.34627,0.36246,0.23273,1.8577,1.59217,1.02382,0.000477397,0.000477397,0.000477397
21,8787.44,1.88589,1.66737,1.02465,0.60679,0.35179,0.35622,0.23765,1.77525,1.58297,1.0155,0.000471576,0.000471576,0.000471576
22,9194.27,1.90058,1.65797,1.02022,0.533,0.38546,0.38456,0.25808,1.77203,1.53955,1.00772,0.000465755,0.000465755,0.000465755
